Unnamed: 0,checking_balance,months_loan_duration,credit_history,amount,savings_balance,installment_rate,personal_status,other_debtors,property,age,installment_plan,housing,existing_credits,default,dependents,foreign_worker,job,gender,residence_history_months,employment_length_months,telephone_flag,purpose_grouped,employment_stable,employment_risk,residence_stable,residence_risk,stability_score
0,-43.0,6,critical,1169,0.0,4,single,none,real estate,67,none,own,2,0,1,yes,skilled employee,male,60,120,1,radio/tv,1,0,1,0,96.0
1,75.0,48,repaid,5951,89.0,2,single,none,real estate,22,none,own,1,1,1,yes,skilled employee,female,6,30,0,radio/tv,1,0,0,0,20.4
2,0.0,12,critical,2096,24.0,2,single,none,real estate,49,none,own,1,0,2,yes,unskilled resident,male,60,66,0,education,1,0,1,0,63.6
3,-32.0,42,repaid,7882,9.0,2,single,guarantor,building society savings,45,none,for free,1,0,2,yes,skilled employee,male,96,66,0,furniture,1,0,1,0,78.0
4,-23.0,24,delayed,4870,43.0,3,single,none,other,53,none,for free,2,1,2,yes,skilled employee,male,96,30,0,car (new),1,0,1,0,56.400000000000006
5,0.0,36,repaid,9055,0.0,2,single,none,other,35,none,for free,1,0,2,yes,unskilled resident,male,96,30,1,education,1,0,1,0,56.400000000000006
6,0.0,24,repaid,2835,761.0,3,single,none,building society savings,53,none,own,1,0,1,yes,skilled employee,male,96,120,0,furniture,1,0,1,0,110.4
7,169.0,36,repaid,6948,57.0,2,single,none,other,35,none,rent,1,0,1,yes,mangement self-employed,male,6,30,1,car (used),1,0,0,0,20.4
8,0.0,12,repaid,3059,18426.0,2,divorced,none,real estate,61,none,own,1,0,1,yes,unskilled resident,male,96,30,0,radio/tv,1,0,1,0,56.400000000000006
9,13.0,30,critical,5234,52.0,4,married,none,other,28,none,own,2,1,1,yes,mangement self-employed,male,6,0,0,car (new),0,1,0,0,2.4000000000000004
10,26.0,12,repaid,1295,93.0,3,single,none,other,25,none,rent,1,1,1,yes,skilled employee,female,6,6,0,car (new),0,0,0,0,6.0
11,-31.0,48,repaid,4308,71.0,3,single,none,building society savings,24,none,rent,1,1,1,yes,skilled employee,female,96,6,0,business,0,0,1,0,42.00000000000001
12,23.0,12,repaid,1567,48.0,1,single,none,other,22,none,own,1,0,1,yes,skilled employee,female,6,30,1,radio/tv,1,0,0,0,20.4
13,-36.0,24,critical,1199,32.0,4,single,none,other,60,none,own,2,1,1,yes,unskilled resident,male,96,120,0,car (new),1,0,1,0,110.4
14,-23.0,15,repaid,1403,86.0,2,single,none,other,28,none,rent,1,0,1,yes,skilled employee,female,96,30,0,car (new),1,0,1,0,56.400000000000006
15,-6.0,24,repaid,1282,209.0,4,single,none,other,32,none,own,1,1,1,yes,unskilled resident,female,6,30,0,radio/tv,1,0,0,0,20.4
16,0.0,24,critical,2424,0.0,4,single,none,building society savings,53,none,own,2,0,1,yes,skilled employee,male,96,120,0,radio/tv,1,0,1,0,110.4
17,-34.0,30,fully repaid,8072,0.0,2,single,none,other,25,bank,own,3,0,1,yes,skilled employee,male,24,6,0,business,0,0,1,0,13.200000000000001
18,83.0,24,repaid,12579,16.0,4,single,none,other,44,none,for free,1,1,1,yes,mangement self-employed,female,6,120,1,car (used),1,0,0,0,74.4
19,0.0,24,repaid,3430,535.0,3,single,none,other,31,none,own,1,0,2,yes,skilled employee,male,6,120,1,radio/tv,1,0,0,0,74.4
20,0.0,9,critical,2134,97.0,4,single,none,other,48,none,own,3,0,1,yes,skilled employee,male,96,30,1,car (new),1,0,1,0,56.400000000000006
21,-8.0,6,repaid,2647,530.0,2,single,none,real estate,44,none,rent,1,0,2,yes,skilled employee,male,24,30,0,radio/tv,1,0,1,0,27.6
22,-18.0,10,critical,2241,14.0,1,single,none,real estate,48,none,rent,2,0,2,no,unskilled resident,male,24,6,0,car (new),0,0,1,0,13.200000000000001
23,113.0,12,critical,1804,361.0,3,single,none,building society savings,44,none,own,1,0,1,yes,skilled employee,male,96,6,0,car (used),0,0,1,0,42.00000000000001
24,0.0,10,critical,2069,0.0,2,married,none,other,26,none,own,2,0,1,no,skilled employee,male,6,30,0,furniture,1,0,0,0,20.4
25,-21.0,6,repaid,1374,75.0,1,single,none,real estate,36,bank,own,1,0,1,yes,unskilled resident,male,6,30,1,furniture,1,0,0,0,20.4
26,0.0,6,fully repaid,426,67.0,4,married,none,other,39,none,own,1,0,1,yes,unskilled resident,male,96,120,0,radio/tv,1,0,1,0,110.4
27,979.0,12,fully repaid this bank,409,7858.0,3,single,none,real estate,42,none,rent,2,0,1,yes,skilled employee,female,24,30,0,radio/tv,1,0,1,0,27.6
28,162.0,7,repaid,2415,10.0,3,single,guarantor,real estate,34,none,own,1,0,1,yes,skilled employee,male,6,30,0,radio/tv,1,0,0,0,20.4
29,-2.0,60,delayed,6836,73.0,3,single,none,other,63,none,own,2,1,1,yes,skilled employee,male,96,120,1,business,1,0,1,0,110.4
30,191.0,18,repaid,1913,9343.0,3,married,none,real estate,36,bank,own,1,0,1,yes,skilled employee,male,24,6,1,business,0,0,1,0,13.200000000000001
31,-31.0,24,repaid,4020,28.0,2,single,none,other,27,stores,own,1,0,1,yes,skilled employee,male,6,30,0,furniture,1,0,0,0,20.4
32,116.0,18,repaid,5866,205.0,2,single,none,other,30,none,own,2,0,1,yes,skilled employee,male,6,30,1,car (new),1,0,0,0,20.4
33,0.0,12,critical,1264,0.0,4,single,none,other,57,none,rent,1,0,1,yes,unskilled resident,male,96,120,0,business,1,0,1,0,110.4
34,837.0,12,repaid,1474,62.0,4,single,none,building society savings,33,bank,own,1,0,1,yes,mangement self-employed,female,6,6,1,furniture,0,0,0,0,6.0
